MEM_ID,MEM_PW,MEM_NM,MEM_TEL_NUM,REGNO1,REGNO2,MEM_ADDR,MILEAGE,MEM_GRADE
a001,asdfasdf,김은대,042-621-4615,760115,1406420,대전시 동구 용운동,1000,일반
b001,1004,이쁜이,02-888-9999,741004,2900000,서울시 천사동 예쁜마을,3000,일반
c001,7777,신용환,042-123-5678,740124,1400716,대전광역시 중구 대흥동,3500,우수
d001,123joy,성윤미,042-222-8877,460409,2000000,대전시 중구 하늘동 ,1700,일반
e001,0,이혜나,042-432-8901,750501,2406017,대전시 대덕구 읍내동,6500,우수
f001,12345678,신영남,042-253-2121,751228,1459919,대전광역시 대흥동,2700,우수
g001,1456,송경희,0412-356-3578,771111,2403414,충남금산군 제원면,800,일반
h001,9999,라준호,042-522-1679,740728,1455822,충남 논산시 양촌면,1500,일반
i001,1111,최지현,042-614-6914,741220,2384719,대전시 동구 가양1동,900,일반
j001,6262,김윤희,042-332-8976,751019,2448920,대전시 서구 삼천동,1100,일반
k001,7227,오철희,042-157-8765,620123,1449311,대전시 대덕구 대화동,3700,우수
l001,12345678,구길동,0412-322-8865,881214,1234566,충남금산군 금산읍,5300,우수
m001,pass,박지은,042-252-0675,750315,2555555,대전광역시 서구 갈마동,,블랙
n001,1111,탁원재,042-632-2176,750323,1011014,대전시 동구 자양동,2700,우수
o001,909,배인정,042-622-5971,780930,2447619,대전시 서구 갈마동,,블랙
p001,sahra3,오성순,042-810-7658,730805,2458323,대전유성구송강동,2200,우수
q001,0,육평회,042-823-2359,721020,1402722,대구광역시 대덕구 중리동,1500,일반
r001,park1005,정은실,042-533-8768,770120,2382532,대전시 동구 용전동,700,일반
s001,819,안은정,042-222-8155,770819,2459927,대구광역시 서구 탄방동,3200,우수
t001,506,성원태,042-272-8657,760506,1454731,대전광역시 중구 유천동,2200,우수
u001,1000,김성욱,042-273-9056,731010,1460111,대전시 동구 용전동,2700,우수
v001,1111,이진영,042-240-8766,520131,2402712,대전시 동구 용전동,4300,우수
w001,12341234,김형모,02-345-9877,631213,1111111,대전시 대덕구 연축동,2700,우수
x001,0,진현경,042-223-8767,770319,2110222,대전광역시 동구 오정동,8700,우수
